source	conversation_id	title	date_created	date_updated	path	relevance_score	matched_keywords	likely_subsystem	extraction_priority	privacy_note
claude	9f29c850-82bd-4354-9014-f02ba00f89eb	Application development masterplan and stages	2026-04-08	2026-04-08	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#9f29c850-82bd-4354-9014-f02ba00f89eb	135	[ i ];attention wallet;investor;demo;pitch;wallet;masterplan;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Source of Truth	P0	ok for structured extraction
claude	185d9905-0b1e-404e-8f65-affc334854ba	Removing the streak bar feature	2026-03-18	2026-03-18	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#185d9905-0b1e-404e-8f65-affc334854ba	135	[ i ];attention wallet;attention economy;studio;earn;rewards;wallet;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	aff2fc4c-50d7-4cff-9fc2-b3404e138a03	Using multiple skills and repos together in Claude	2026-03-15	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#aff2fc4c-50d7-4cff-9fc2-b3404e138a03	130	i app;attention wallet;earn;wallet;trust;verification;media marketplace;fuzzy:attention wallet;fuzzy:i app;fuzzy:media marketplace;fuzzy:i-product	Economy	P0	ok for structured extraction
claude	729c0fa9-5ad8-4de7-8056-1e8979f5b3d2	Eye-tracking attention interface for verified engagement	2026-03-19	2026-03-27	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#729c0fa9-5ad8-4de7-8056-1e8979f5b3d2	125	[ i ];eye tracking;gaze;blink;remote control;advertiser;rewards;fraud;validation;verification;Cursor	Economy	P0	ok for structured extraction
claude	0e73a9cf-2e5d-43e5-9667-b8112fafecc3	Complete fintech app artifact with wallet interface	2026-03-15	2026-03-18	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#0e73a9cf-2e5d-43e5-9667-b8112fafecc3	123	[ i ];attention wallet;campaign;earn;rewards;wallet;verification;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	a26669ba-ca17-4979-b30e-116280b3263b	Eye-tracking system audit and integration review	2026-03-27	2026-04-08	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#a26669ba-ca17-4979-b30e-116280b3263b	119	[ i ];eye tracking;remote control;studio;investor;demo;earn;rewards;verification;fuzzy:investor demo	Economy	P0	ok for structured extraction
claude	090c9ca2-83c2-46d7-ad31-d08d7d5027ce	UX/UI design principles	2026-04-07	2026-04-07	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#090c9ca2-83c2-46d7-ad31-d08d7d5027ce	117	[ i ];attention wallet;gaze;wallet;verification;media marketplace;Cursor;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	ok for structured extraction
claude	b7fa1669-4b75-4ea0-9389-5fba86f96fa2	Clarification needed	2026-04-08	2026-04-08	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#b7fa1669-4b75-4ea0-9389-5fba86f96fa2	113	[ i ];attention wallet;investor;demo;wallet;media marketplace;fuzzy:attention wallet;fuzzy:media marketplace	Economy	P0	mixed signals; title suggests personal topic — owner review before extract
claude	75855403-6c31-4cb6-b7ca-a39b2a737af3	Creating custom skills with documentation	2026-03-20	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#75855403-6c31-4cb6-b7ca-a39b2a737af3	105	[ i ];i app;attention wallet;rewards;wallet;media marketplace	Economy	P0	ok for structured extraction
claude	6cf0db82-7250-41bd-afdd-89d27b0bde93	App walkthrough video demonstration	2026-03-29	2026-03-29	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#6cf0db82-7250-41bd-afdd-89d27b0bde93	95	[ i ];eye tracking;demo;earn;rewards;wallet;trust;verification	Economy	P0	ok for structured extraction
claude	85295173-080e-47c1-acfd-c598c4735222	Remote control development	2026-03-23	2026-03-23	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#85295173-080e-47c1-acfd-c598c4735222	91	[ i ];i app;blink;remote control;wallet;fuzzy:remote control	Economy	P0	ok for structured extraction
claude	06c1b1a8-152d-4b5e-a319-8060bbf37d0b	Alpha currency engagement tracking system	2026-03-27	2026-03-27	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#06c1b1a8-152d-4b5e-a319-8060bbf37d0b	86	eye tracking;investor;demo;earn;wallet;trust;engagement tracking;fuzzy:investor demo	Economy	P0	ok for structured extraction
claude	bc45f099-2841-45e1-87f0-b81cc3b95bfb	Building a functional investor demo with core features	2026-04-09	2026-04-09	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#bc45f099-2841-45e1-87f0-b81cc3b95bfb	86	eye tracking;remote control;investor;demo;earn;wallet;Cursor;fuzzy:investor demo	Economy	P0	ok for structured extraction
claude	74a8e0c3-5a6b-42f8-96ac-a6d423fcde9d	Comprehensive social media app development	2025-12-09	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#74a8e0c3-5a6b-42f8-96ac-a6d423fcde9d	85	[ i ];eye tracking;earn;rewards;wallet;verification;MVP	Economy	P0	ok for structured extraction
claude	e35cf90d-d746-4283-8e1c-b95e971fcd4e	Turning scattered project attempts into a cohesive vision	2026-04-11	2026-04-11	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#e35cf90d-d746-4283-8e1c-b95e971fcd4e	81	[ i ];eye tracking;demo;rewards;verification;Lovable;fuzzy:i platform	Economy	P0	ok for structured extraction
claude	c8abb718-4938-4574-a767-4e0ef14134ea	App development request	2026-02-07	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#c8abb718-4938-4574-a767-4e0ef14134ea	79	[ i ];eye tracking;rewards;wallet;fraud;verification	Economy	P0	ok for structured extraction
claude	f20c520a-c6e9-4597-84d0-e2d738eff9bb	Document analysis request	2026-03-14	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#f20c520a-c6e9-4597-84d0-e2d738eff9bb	79	[ i ];attention economy;advertiser;earn;rewards;wallet	Economy	P0	mixed signals; title suggests personal topic — owner review before extract
claude	bd577fe0-f442-4e2d-825b-7dfb856b3188	Developing an Innovative Social Media App	2025-05-24	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#bd577fe0-f442-4e2d-825b-7dfb856b3188	73	[ i ];eye tracking;advertiser;rewards;verification;MVP	Economy	P0	ok for structured extraction
claude	2e3fe0ba-5d29-47d7-9ddd-e1f297c8bf09	Click and earn feature development	2026-03-18	2026-03-18	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#2e3fe0ba-5d29-47d7-9ddd-e1f297c8bf09	68	studio;campaign;earn;rewards;wallet;verification;click and earn	Economy	P0	ok for structured extraction
claude	6b27a771-e943-4fce-b074-3340f32a450c	Creating a custom skill together	2026-03-21	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#6b27a771-e943-4fce-b074-3340f32a450c	68	i app;attention economy;rewards;Lovable;Cursor;fuzzy:i app	Economy	P0	ok for structured extraction
claude	67b731e7-a2bf-4cae-aa8b-ea365681b81e	Cross-platform integration and viewer rewards	2026-03-19	2026-03-19	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#67b731e7-a2bf-4cae-aa8b-ea365681b81e	68	i app;rewards;wallet;fraud;trust;verification	Economy	P0	ok for structured extraction
claude	d4c38603-4d4c-4622-8da6-6f52fdd7399c	Alphabet currency coin system development	2026-03-21	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#d4c38603-4d4c-4622-8da6-6f52fdd7399c	67	[ i ];alphabet currency;rewards;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
claude	efe9719c-b9a9-4111-b611-7d4df06d8f72	Continuing development with mockup assets	2026-04-10	2026-04-10	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#efe9719c-b9a9-4111-b611-7d4df06d8f72	66	i app;investor;demo;verification;iapp	Economy	P0	ok for structured extraction
claude	718eb992-2c28-4243-be34-d994ceec694a	Self-funding vs. seeking investment for app development	2026-03-22	2026-03-22	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#718eb992-2c28-4243-be34-d994ceec694a	64	attention economy;eye tracking;investor;demo;verification	Economy	P0	ok for structured extraction
claude	214eb465-87c4-474f-8a02-7e232e4278d7	Unified social media identity platform	2026-03-28	2026-03-28	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#214eb465-87c4-474f-8a02-7e232e4278d7	63	[ i ];remote control;campaign;trust;verification	Economy	P0	ok for structured extraction
claude	58b78e31-3e5b-4dc8-bc55-88c0c8fab636	Protecting app from corporate copying	2026-03-22	2026-03-22	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#58b78e31-3e5b-4dc8-bc55-88c0c8fab636	58	attention economy;investor;demo;pitch;verification	Economy	P0	ok for structured extraction
claude	91b22089-67df-4612-8131-878370cb7263	Glassmorphism design with neutral numbers	2026-04-09	2026-04-09	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#91b22089-67df-4612-8131-878370cb7263	55	[ i ];demo;earn;wallet	Economy	P0	ok for structured extraction
claude	29e2fc09-cbe3-40aa-af98-3c833832fc1c	Building eye tracking investor demo app	2026-05-14	2026-05-17	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#29e2fc09-cbe3-40aa-af98-3c833832fc1c	54	eye tracking;investor;demo;fuzzy:eye tracking;fuzzy:investor demo	Eye Tracking	P0	ok for structured extraction
claude	04b0d333-7daf-4ca3-83a2-45eb75baa7cc	Best skills to install on Claude	2026-03-19	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#04b0d333-7daf-4ca3-83a2-45eb75baa7cc	40	i app;fuzzy:i app;fuzzy:i-product	Economy	P1	mixed signals; title suggests personal topic — owner review before extract
claude	6eced57d-2ab0-4638-8c74-ec2e27d4cee7	i Platform: Reinventing Social Media as a Global Earning Ecosystem	2024-12-03	2024-12-26	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#6eced57d-2ab0-4638-8c74-ec2e27d4cee7	36	pitch;earn;fuzzy:i platform;fuzzy:i-product	Economy	P1	ok for structured extraction
claude	981ffc2d-3248-4d69-92b1-6d89121aee09	ChatGPT memory export and context management	2026-03-19	2026-03-19	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#981ffc2d-3248-4d69-92b1-6d89121aee09	25	[ i ]	Economy	P0	mixed signals; title suggests personal topic — owner review before extract
claude	50979b3a-ea23-4a86-8fbe-042fa8d5f4b2	Using remote control with Claude	2026-03-16	2026-03-16	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#50979b3a-ea23-4a86-8fbe-042fa8d5f4b2	22	remote control;fuzzy:remote control	Design/UX	P2	ok for structured extraction
claude	4bebc6be-288e-4b59-b48e-c324d47b4205	Installing conductor	2026-03-15	2026-03-15	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#4bebc6be-288e-4b59-b48e-c324d47b4205	16	trust;verification	Trust/Fraud	P2	ok for structured extraction
claude	5656a50e-aee1-4281-9927-ebe4dbaf45c9	IMUP	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#5656a50e-aee1-4281-9927-ebe4dbaf45c9	12	IMUP	Eye Tracking	P2	ok for structured extraction
claude	c0db0dab-f25d-4e22-bf03-f5819e812b68	Interactive coin buttons with engagement mechanics	2026-03-18	2026-03-18	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#c0db0dab-f25d-4e22-bf03-f5819e812b68	8	rewards	Economy	P2	ok for structured extraction
claude	9f764b45-1481-4cb2-bb83-b55e952e0d2b	Promotion Setup and Staff Training	2024-12-15	2024-12-15	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#9f764b45-1481-4cb2-bb83-b55e952e0d2b	8	campaign	Campaigns	P2	ok for structured extraction
claude	915c8e27-d698-4cc4-9819-87d05099aaea	Creating a Claude Code skill reference	2026-03-20	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#915c8e27-d698-4cc4-9819-87d05099aaea	6	Cursor	Design/UX	P3	low relevance; metadata only
claude	3e227f62-c39e-449b-b293-cf0807eb48e7	Developing an App with Cursor AI	2025-04-15	2025-04-15	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#3e227f62-c39e-449b-b293-cf0807eb48e7	6	Cursor	ELO/iVatar	P3	low relevance; metadata only
claude	93ad61ca-90a1-46f0-aad0-06bba98a97b1	(untitled)	2026-03-27	2026-03-27	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#93ad61ca-90a1-46f0-aad0-06bba98a97b1	0		Unknown	P3	low relevance; metadata only
claude	e28c671b-bf89-4308-9075-57679b620b66	(untitled)	2026-03-28	2026-03-28	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#e28c671b-bf89-4308-9075-57679b620b66	0		Unknown	P3	low relevance; metadata only
claude	43f537ab-9b74-4cfc-9cc0-0e39b384a7cc	(untitled)	2026-03-28	2026-03-28	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#43f537ab-9b74-4cfc-9cc0-0e39b384a7cc	0		Unknown	P3	low relevance; metadata only
claude	5cb85e06-2b32-4c1f-9a9c-dfa9fd07ec9d	(untitled)	2026-03-27	2026-03-27	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#5cb85e06-2b32-4c1f-9a9c-dfa9fd07ec9d	0		Unknown	P3	low relevance; metadata only
claude	0d80096d-e5be-4050-8895-96e7622a7344	(untitled)	2024-12-06	2024-12-06	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#0d80096d-e5be-4050-8895-96e7622a7344	0		Unknown	P3	low relevance; metadata only
claude	8ee85588-b43b-4bbe-a24d-ec77d9be05ff	(untitled)	2025-05-29	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#8ee85588-b43b-4bbe-a24d-ec77d9be05ff	0		Unknown	P3	low relevance; metadata only
claude	dddfb726-8ee1-4c98-ab42-ee69b3bf69fb	(untitled)	2025-05-29	2026-03-21	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#dddfb726-8ee1-4c98-ab42-ee69b3bf69fb	0		Unknown	P3	low relevance; metadata only
claude	2d4360f0-2562-42b1-ba53-d8bd0028850b	App onboarding and marketplace flow	2026-04-07	2026-04-07	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#2d4360f0-2562-42b1-ba53-d8bd0028850b	0		Unknown	P3	low relevance; metadata only
claude	7027daf3-12f9-4820-83a6-50bbd2c6c0a8	Automated YouTube research pipeline with NotebookLM	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#7027daf3-12f9-4820-83a6-50bbd2c6c0a8	0		Unknown	P3	likely personal/off-topic; exclude from extraction unless owner requests
claude	0b2ef976-4b16-479a-b011-0afa25c6d3c5	Bypassing login page	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#0b2ef976-4b16-479a-b011-0afa25c6d3c5	0		Unknown	P3	likely personal/off-topic; exclude from extraction unless owner requests
claude	98d0e061-9773-4b2c-9e4a-92601077da32	Bypassing login page	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#98d0e061-9773-4b2c-9e4a-92601077da32	0		Unknown	P3	likely personal/off-topic; exclude from extraction unless owner requests
claude	8b5723e2-684b-4e66-b482-94ae992ed66f	Bypassing login page	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#8b5723e2-684b-4e66-b482-94ae992ed66f	0		Unknown	P3	likely personal/off-topic; exclude from extraction unless owner requests
claude	7f19200c-2b12-4502-992a-dda6f1fa5aa9	Bypassing login page	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#7f19200c-2b12-4502-992a-dda6f1fa5aa9	0		Unknown	P3	likely personal/off-topic; exclude from extraction unless owner requests
claude	1970391f-e823-4750-8483-6e259606e52b	Continuing without charges or commitments	2026-04-13	2026-04-13	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#1970391f-e823-4750-8483-6e259606e52b	0		Unknown	P3	low relevance; metadata only
claude	cf072143-303d-4aa6-97f5-8e01a1757ecb	Continuing without charges or commitments	2026-04-13	2026-04-13	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#cf072143-303d-4aa6-97f5-8e01a1757ecb	0		Unknown	P3	low relevance; metadata only
claude	06ee05fa-7318-47f2-97f3-1dcfea17ed05	Customizable mood-based content platform with user-created playlists	2026-03-18	2026-03-20	/Users/2023macbookpro/Desktop/IVAULT/CLAUDE/data-fe35a285-bb03-4a76-9713-3d7d7db136c1-1779344478-caa3e17f-batch-0000/conversations.json#06ee05fa-7318-47f2-97f3-1dcfea17ed05	0		Unknown	P3	low relevance; metadata only
