source	conversation_id	title	date_created	date_updated	path	relevance_score	matched_keywords	likely_subsystem	extraction_priority	privacy_note
openai	69edac1d-7048-83ea-b69b-4b2e293b71db	cCoin Creation Details	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edac1d-7048-83ea-b69b-4b2e293b71db	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edac30-7308-83ea-8b15-de527f507966	dCoin Development Plan	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edac30-7308-83ea-8b15-de527f507966	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edac46-3d20-83ea-9338-83e90210314a	fCoin Focus Definition	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edac46-3d20-83ea-9338-83e90210314a	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda352-8cbc-83ea-a4a5-2e94588465a1	hCoin Development Details	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda352-8cbc-83ea-a4a5-2e94588465a1	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda43a-de88-83ea-8c56-079d82099263	hCoin Development Guide	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda43a-de88-83ea-8c56-079d82099263	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edac7f-4088-83ea-a93b-85e606b848e2	jCoin Development Guidelines	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edac7f-4088-83ea-a93b-85e606b848e2	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda6d0-912c-83ea-bca2-e880318fbe00	nCoin Development Blueprint	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda6d0-912c-83ea-bca2-e880318fbe00	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda9cb-a760-83ea-9b88-52c6485194dc	qCoin Development Plan	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda9cb-a760-83ea-9b88-52c6485194dc	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69eda9e6-6f7c-83ea-9e01-f4d83c18eca3	rCoin Reputation System	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69eda9e6-6f7c-83ea-9e01-f4d83c18eca3	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edaa2e-0fcc-83ea-aa9d-ab9b845ac329	rCoin Reputation System	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edaa2e-0fcc-83ea-aa9d-ab9b845ac329	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edaa8b-a40c-83ea-b045-c72a7b182660	sCoin Safety Design	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edaa8b-a40c-83ea-b045-c72a7b182660	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69edab2b-f7a0-83ea-914d-7481ec33cb5d	xCoin Development Overview	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edab2b-f7a0-83ea-914d-7481ec33cb5d	69	[ i ];alphabet currency;fraud;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	67d4697c-280c-8008-93c7-24bcd6446934	i App Development Roadmap	2025-03-14	2026-04-23	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#67d4697c-280c-8008-93c7-24bcd6446934	64	i app;eye tracking;rewards;fuzzy:i app;fuzzy:i-product	Eye Tracking	P0	ok for structured extraction
openai	69edab76-ace8-83ea-a181-5b89387a83fb	Developing yCoin Mechanics	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69edab76-ace8-83ea-a181-5b89387a83fb	59	[ i ];alphabet currency;trust;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69bb4391-d6c4-8329-826f-7578d2f7440c	Eye-Tracking for i Platform	2026-03-19	2026-04-24	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69bb4391-d6c4-8329-826f-7578d2f7440c	58	eye tracking;remote control;demo;fuzzy:i platform;fuzzy:i-product	Eye Tracking	P0	ok for structured extraction
openai	6a0533b3-6f48-83ea-8a5c-f9cc3664418c	MVP Demo Development Plan	2026-05-14	2026-05-18	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#6a0533b3-6f48-83ea-8a5c-f9cc3664418c	58	iVAULT;investor;demo;MVP;Cursor;fuzzy:investor demo	Eye Tracking	P0	ok for structured extraction
openai	69dd10ee-3704-83ea-83ec-a7d05f7e2d61	Tobii Eye-Tracking Licensing	2026-04-13	2026-04-13	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69dd10ee-3704-83ea-83ec-a7d05f7e2d61	57	[ i ];eye tracking;fraud;Cursor	Trust/Fraud	P0	ok for structured extraction
openai	693a2988-5920-832f-9f34-7bb0a3affb8b	App development guide	2025-12-11	2026-01-06	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#693a2988-5920-832f-9f34-7bb0a3affb8b	56	i app;earn;rewards;fuzzy:i app;fuzzy:i-product	Attention Verification	P0	ok for structured extraction
openai	69ad1158-fbb8-832f-bcac-3ae13aa2d546	App Development Strategy	2026-03-08	2026-03-08	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69ad1158-fbb8-832f-bcac-3ae13aa2d546	55	[ i ];investor;demo;fuzzy:investor demo	Eye Tracking	P0	ok for structured extraction
openai	69dc3278-a468-83ea-939b-b911967ca299	HTML Demo App Integration	2026-04-13	2026-04-13	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69dc3278-a468-83ea-939b-b911967ca299	55	[ i ];investor;demo;MVP	Investor Demo	P0	ok for structured extraction
openai	686ca044-3b90-8008-a657-19697f5751a7	App Launch Budget Breakdown	2025-07-08	2025-07-08	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#686ca044-3b90-8008-a657-19697f5751a7	52	iCoin;vCoin;rewards;wallet	Economy	P0	ok for structured extraction
openai	69e1c39b-bffc-83ea-a91b-a1c5d7e69587	Project Idea Development	2026-04-17	2026-04-24	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69e1c39b-bffc-83ea-a91b-a1c5d7e69587	48	earn;rewards;wallet;trust;masterplan	Source of Truth	P0	ok for structured extraction
openai	69dd2899-827c-83ea-b567-96652390d7d6	Eye-Tracking System Evaluation	2026-04-13	2026-04-13	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69dd2899-827c-83ea-b567-96652390d7d6	47	[ i ];eye tracking;Cursor	Eye Tracking	P0	ok for structured extraction
openai	69ad07f6-c224-832f-9709-80860cca3504	Face Gesture Phone Control	2026-03-08	2026-03-15	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69ad07f6-c224-832f-9709-80860cca3504	44	i app;earn;iapp	Eye Tracking	P1	ok for structured extraction
openai	67fddb42-cbf0-8008-a741-b5d72cc042c0	Promotional Video Eye-Tracking	2025-04-15	2026-04-23	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#67fddb42-cbf0-8008-a741-b5d72cc042c0	44	eye tracking;earn;rewards;wallet	Economy	P1	ok for structured extraction
openai	67e3cd4d-9ec4-8008-abe6-f255c1684505	App Development with AI	2025-03-26	2025-05-19	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#67e3cd4d-9ec4-8008-abe6-f255c1684505	41	[ i ];earn;MVP	Economy	P0	ok for structured extraction
openai	69f62fe3-b474-83ea-9521-39a5440688bb	iDO module design	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f62fe3-b474-83ea-9521-39a5440688bb	41	[ i ];earn;verification	Source of Truth	P0	ok for structured extraction
openai	69f62faa-80ec-83ea-ae5c-ec22ca4b3a5a	iEARN Module Design	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f62faa-80ec-83ea-ae5c-ec22ca4b3a5a	41	[ i ];earn;verification	Source of Truth	P0	ok for structured extraction
openai	69a074fb-0700-8332-a0af-14864f6111e8	Investor Demo Design	2026-02-26	2026-02-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69a074fb-0700-8332-a0af-14864f6111e8	38	investor;demo;earn;fuzzy:investor demo	Eye Tracking	P1	ok for structured extraction
openai	69dd15be-dc14-83ea-9b7a-3c832037a8c6	System development platforms	2026-04-13	2026-05-12	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69dd15be-dc14-83ea-9b7a-3c832037a8c6	38	iVAULT;blink;trust;Cursor	Trust/Fraud	P1	ok for structured extraction
openai	69b4a6c2-dd6c-8332-ad28-86741860ecae	UI/UX Design Strategy	2026-03-14	2026-03-14	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69b4a6c2-dd6c-8332-ad28-86741860ecae	38	eye tracking;remote control;fuzzy:remote control	Eye Tracking	P1	ok for structured extraction
openai	69ed5b60-de08-83ea-9e7b-0962bed8e6e0	Pseudonym Suggestions for Anonymity	2026-04-26	2026-04-26	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69ed5b60-de08-83ea-9e7b-0962bed8e6e0	36	i app;ELO	ELO/iVatar	P1	ok for structured extraction
openai	69efe369-452c-83ea-a0a7-f89ea56b946e	Media Control Studio	2026-04-27	2026-04-28	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69efe369-452c-83ea-a0a7-f89ea56b946e	35	[ i ];studio	Creator Economy	P0	ok for structured extraction
openai	6a0531b6-b490-83ea-93fc-68b5d29f6483	Alphabet Currency Redesign	2026-05-14	2026-05-14	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#6a0531b6-b490-83ea-93fc-68b5d29f6483	34	alphabet currency;MVP;fuzzy:alphabet currency	Economy	P0	ok for structured extraction
openai	69d57673-344c-8332-8682-fbb23b0f82e5	Eye Tracking Overview	2026-04-07	2026-04-07	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69d57673-344c-8332-8682-fbb23b0f82e5	34	eye tracking;fuzzy:eye tracking;fuzzy:i-product	Eye Tracking	P1	ok for structured extraction
openai	69ee44a7-3c0c-83ea-997b-8f6afaca9f3d	Presence Layer Development	2026-04-26	2026-04-28	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69ee44a7-3c0c-83ea-997b-8f6afaca9f3d	34	POPS;validation;Cursor	POPS/Proof	P0	ok for structured extraction
openai	69af8f67-5c3c-8331-ba74-40c328e0c35e	App Redesign Analysis	2026-03-10	2026-03-10	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69af8f67-5c3c-8331-ba74-40c328e0c35e	33	[ i ];rewards	Eye Tracking	P0	ok for structured extraction
openai	69331a56-524c-8333-802a-745e61ac1d44	App development blueprint	2025-12-05	2025-12-05	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69331a56-524c-8333-802a-745e61ac1d44	33	[ i ];MVP	Design/UX	P0	ok for structured extraction
openai	69daab7f-74cc-83ea-893a-dea65497edb1	Coin taxonomy overview	2026-04-11	2026-04-11	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69daab7f-74cc-83ea-893a-dea65497edb1	33	[ i ];rewards	Economy	P0	ok for structured extraction
openai	69f63231-5d78-83ea-a04f-e44de0f8b4ef	iASK Module Overview	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f63231-5d78-83ea-a04f-e44de0f8b4ef	33	[ i ];earn	Source of Truth	P0	ok for structured extraction
openai	69f6302b-85d0-83ea-8356-832d590b4902	iGET Module Overview	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f6302b-85d0-83ea-8356-832d590b4902	33	[ i ];rewards	Source of Truth	P0	ok for structured extraction
openai	69f6304d-0db0-83ea-9074-5348f20d8b99	iGET module development	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f6304d-0db0-83ea-9074-5348f20d8b99	33	[ i ];rewards	Source of Truth	P0	ok for structured extraction
openai	69f63262-f354-83ea-8019-9e8921bbe817	iHEAR Module Development	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f63262-f354-83ea-8019-9e8921bbe817	33	[ i ];earn	Source of Truth	P0	ok for structured extraction
openai	69f632c7-c0a0-83ea-95aa-f0b205cd38b0	iLEARN Module Design	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f632c7-c0a0-83ea-95aa-f0b205cd38b0	33	[ i ];earn	Source of Truth	P0	ok for structured extraction
openai	69f63320-ed70-83ea-afd8-c3cb5781f47c	iMAP module development	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f63320-ed70-83ea-afd8-c3cb5781f47c	33	[ i ];earn	Source of Truth	P0	ok for structured extraction
openai	69f632f3-2418-83ea-8699-814c1e5a0f7b	iOWN Module Development	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f632f3-2418-83ea-8699-814c1e5a0f7b	33	[ i ];verification	Source of Truth	P0	ok for structured extraction
openai	69f631a6-de34-83ea-b9db-c8c2877fee29	iSAVE Module Build	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f631a6-de34-83ea-b9db-c8c2877fee29	33	[ i ];rewards	Source of Truth	P0	ok for structured extraction
openai	69a98c56-deb8-8333-a304-ec72992cb723	Best Platforms for App Auditing	2026-03-05	2026-03-05	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69a98c56-deb8-8333-a304-ec72992cb723	30	investor;demo;fuzzy:investor demo	Investor Demo	P1	ok for structured extraction
openai	6986cad6-d774-8325-96be-a08b5fc494a7	Natural vs Organic Intelligence	2026-02-07	2026-02-07	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#6986cad6-d774-8325-96be-a08b5fc494a7	30	Natural Intelligence;fuzzy:natural intelligence	Design/UX	P0	ok for structured extraction
openai	674e929c-048c-8008-beae-2d75575bbecb	VCoins and ICoins System	2024-12-03	2026-04-23	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#674e929c-048c-8008-beae-2d75575bbecb	30	eye tracking;MVP;Cursor	Economy	P1	ok for structured extraction
openai	69fce820-3808-83ea-956c-81ee15499fac	Abacus Image Creation Guide	2026-05-07	2026-05-08	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69fce820-3808-83ea-956c-81ee15499fac	28	earn;wallet;verification	Economy	P1	ok for structured extraction
openai	67feee61-fb00-8008-8774-a49bde2d80fe	Auto Mall App Dev	2025-04-15	2025-04-16	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#67feee61-fb00-8008-8774-a49bde2d80fe	28	investor;pitch;Cursor	Investor Demo	P1	ok for structured extraction
openai	67fc07a3-3478-8008-9097-a8306347b931	Promotional Video Rewards System	2025-04-13	2025-05-19	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#67fc07a3-3478-8008-9097-a8306347b931	28	earn;rewards;wallet	Economy	P1	ok for structured extraction
openai	e7c13607-65d6-4813-8b36-6d4f874ae8be	App Pitch w/ Graphics.	2023-03-29	2026-04-23	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#e7c13607-65d6-4813-8b36-6d4f874ae8be	26	iVatar;pitch	Investor Demo	P1	ok for structured extraction
openai	886ca901-286b-4281-b6a2-fd44bd92dc54	Video app pitch guide.	2023-03-29	2026-04-23	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#886ca901-286b-4281-b6a2-fd44bd92dc54	26	campaign;pitch;earn	Campaigns	P1	ok for structured extraction
openai	69f62de3-44c4-83ea-8395-93404490cc66	iAM module design	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f62de3-44c4-83ea-8395-93404490cc66	25	[ i ]	Source of Truth	P0	ok for structured extraction
openai	69f631ff-634c-83ea-8b7f-602573fd31df	iMAKE module development	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f631ff-634c-83ea-8b7f-602573fd31df	25	[ i ]	Source of Truth	P0	ok for structured extraction
openai	69f62f81-3f10-83ea-b5b4-d7d6d76a704b	iSEE Module Design	2026-05-02	2026-05-02	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f62f81-3f10-83ea-b5b4-d7d6d76a704b	25	[ i ]	Source of Truth	P0	ok for structured extraction
openai	69dd0e1d-04f0-83ea-bc0e-6f4a354de24b	PsychoPy Mobile Tracking Limitations	2026-04-13	2026-04-13	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69dd0e1d-04f0-83ea-bc0e-6f4a354de24b	24	eye tracking;rewards	Eye Tracking	P1	ok for structured extraction
openai	69f2bb68-4c24-83ea-b1af-2d48aa29fcd0	ICOM remote control concept	2026-04-30	2026-04-30	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69f2bb68-4c24-83ea-b1af-2d48aa29fcd0	22	remote control;fuzzy:remote control	Design/UX	P2	ok for structured extraction
openai	6978e55d-8af0-832a-bff1-ce28aabfdd8f	Mobile UI Mockup Design	2026-01-27	2026-01-27	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#6978e55d-8af0-832a-bff1-ce28aabfdd8f	22	investor;pitch	Economy	P1	ok for structured extraction
openai	69efcdd3-9dbc-83ea-9d5a-d8ac9664225f	Remote Control Feature Dev	2026-04-27	2026-04-27	/Users/2023macbookpro/Desktop/IVAULT/CHATGPT/gpt chats/conversations-*.json#69efcdd3-9dbc-83ea-9d5a-d8ac9664225f	22	remote control;fuzzy:remote control	ELO/iVatar	P2	ok for structured extraction
